id,symbol,name,image,current_price,market_cap,Rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,Variation % 24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,image_url
sui,SUI,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,3.08,9527844988,17,30837371920,867527537,3.35,3.02,-0.215,-6.53,-719012067.239,-7.017,3089707194,10000000000.0,10000000000.0,5.35,-42.193,2025-01-04,0.365,747.12,2023-10-19,2025-02-18 11:31,/26375/large/sui-ocean-square.png?1727791290
litecoin,LTC,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,123.71,9345520828,18,9345583455,1066607439,125.84,120.41,-1.079,-0.86,-83372464.964,-0.884,75545239,75545745.733,84000000.0,410.26,-69.889,2021-05-10,1.15,10652.737,2015-01-14,2025-02-18 11:31,/2/large/litecoin.png?1696501400
the-open-network,TON,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,3.66,9132670258,19,18754025822,140079292,3.85,3.61,-0.168,-4.38,-440034214.012,-4.597,2494559345,5122601501.786,,8.25,-55.664,2024-06-15,0.519,604.574,2021-09-21,2025-02-18 11:31,/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446
shiba-inu,SHIB,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,0.0,9020506105,20,9024385049,241722892,0.0,0.0,-0.0,-4.22,-417573361.046,-4.424,589253833751263,589507221161674.5,,0.0,-82.249,2021-10-28,0.0,27132795.449,2020-11-28,2025-02-18 11:31,/11939/large/shiba.png?1696511800
leo-token,LEO,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.75,9007644929,21,9603442057,287275,9.82,9.56,-0.014,-0.14,-32510562.504,-0.36,924115287,985239504.0,,9.95,-2.074,2025-02-09,0.8,1117.575,2019-12-24,2025-02-18 11:31,/8418/large/leo-token.png?1696508607
usds,USDS,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,1.0,8828295890,22,8828295890,21557634,1.0,1.0,0.001,0.09,66748854.0,0.762,8824401430,8824401430.859,,1.057,-5.412,2024-10-29,0.948,5.467,2024-10-03,2025-02-18 11:31,/39926/large/usds.webp?1726666683
hedera-hashgraph,HBAR,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.2,8588220942,23,10247506028,213758841,0.22,0.2,-0.016,-7.33,-726120141.096,-7.796,41903956526,50000000000.0,50000000000.0,0.569,-64.057,2021-09-15,0.01,1974.771,2020-01-02,2025-02-18 11:31,/3688/large/hbar.png?1696504364
weth,WETH,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,2698.59,8097956109,24,8097956109,71657570,2839.96,2656.54,-56.765,-2.06,-184281419.43,-2.225,3000882,3000391.296,,4799.89,-43.921,2021-11-09,82.1,3178.443,2018-12-15,2025-02-18 11:31,/2518/large/weth.png?1696503332
hyperliquid,HYPE,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,24.23,8085235181,25,24212264716,275281435,26.87,23.96,-1.505,-5.85,-538972964.499,-6.25,333928180,999990391.0,1000000000.0,34.96,-31.135,2024-12-22,3.81,532.096,2024-11-29,2025-02-18 11:31,/50882/large/hyperliquid.jpg?1729431300
polkadot,DOT,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,4.77,7267129829,26,7267129829,194902884,5.05,4.68,-0.176,-3.55,-289534028.673,-3.832,1522267060,1522267060.0,,54.98,-91.318,2021-11-04,2.7,76.959,2020-08-20,2025-02-18 11:31,/12171/large/polkadot.png?1696512008
mantra-dao,OM,MANTRA,https://coin-images.coingecko.com/coins/images/12151/large/OM_Token.png?1696511991,7.37,7162355684,27,13314260417,201112360,7.46,7.15,-0.036,-0.49,-61876149.647,-0.857,972812553,1808382639.63,,7.9,-7.251,2025-02-15,0.017,42341.912,2023-10-12,2025-02-18 11:31,/12151/large/OM_Token.png?1696511991
bitcoin-cash,BCH,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,317.32,6292777246,28,6292779230,178675982,335.93,312.41,-11.504,-3.5,-229374595.214,-3.517,19830937,19830943.647,21000000.0,3785.82,-91.624,2017-12-20,76.93,312.168,2018-12-16,2025-02-18 11:31,/780/large/bitcoin-cash-circle.png?1696501932
bitget-token,BGB,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,5.07,6081618508,29,6081618508,343684213,5.22,4.96,-0.005,-0.09,-133281152.945,-2.145,1199999994,1199999994.2,2000000000.0,8.45,-40.053,2024-12-27,0.014,35375.551,2020-06-25,2025-02-18 11:31,/11610/large/Bitget_logo.png?1736925727
ethena-usde,USDE,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,1.0,6050316564,30,6050316564,79490556,1.0,1.0,-0.001,-0.06,99172105.0,1.666,6058320627,6058320627.626,,1.032,-3.196,2023-12-20,0.929,7.489,2024-10-04,2025-02-18 11:31,/33613/large/usde.png?1733810059
uniswap,UNI,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,9.68,5814126572,31,9682415419,245435533,10.18,9.46,-0.273,-2.74,-175359370.346,-2.928,600483073,1000000000.0,1000000000.0,44.92,-78.474,2021-05-03,1.03,838.582,2020-09-17,2025-02-18 11:31,/12504/large/uniswap-logo.png?1720676669
wrapped-eeth,WEETH,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,2857.72,5459458978,32,5459458978,23849230,2990.69,2816.95,-58.886,-2.02,-129481076.541,-2.317,1910507,1910507.098,,4311.81,-33.793,2024-12-06,2231.18,27.946,2024-01-08,2025-02-18 11:31,/33033/large/weETH.png?1701438396
monero,XMR,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,234.47,4325178405,33,4325178405,71858304,238.89,232.49,0.375,0.16,6561329.0,0.152,18446744,18446744.074,,542.33,-56.747,2018-01-09,0.216,108408.891,2015-01-14,2025-02-18 11:31,/69/large/monero_logo.png?1696501460
pepe,PEPE,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,0.0,4027766157,34,4027766157,1120177630,0.0,0.0,-0.0,-2.82,-126958621.733,-3.056,420690000000000,420690000000000.0,420690000000000.0,0.0,-65.851,2024-12-09,0.0,17257.364,2023-04-18,2025-02-18 11:31,/29850/large/pepe-token.jpeg?1696528776
whitebit,WBT,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,27.16,3914747002,35,9003315938,17331023,27.47,27.11,-0.04,-0.14,-8526579.059,-0.217,144118517,331450421.0,400000000.0,29.08,-6.593,2025-01-23,3.06,787.066,2023-02-13,2025-02-18 11:31,/27045/large/wbt_token.png?1696526096
aave,AAVE,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,256.93,3870304941,36,4108170236,399104731,276.86,250.07,-13.715,-5.07,-224212534.276,-5.476,15073591,16000000.0,16000000.0,661.69,-61.283,2021-05-18,26.02,884.452,2020-11-05,2025-02-18 11:31,/12645/large/aave-token-round.png?1720472354
near,NEAR,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,3.19,3776571316,37,3938255115,210782569,3.48,3.13,-0.233,-6.81,-295773382.102,-7.263,1185165436,1235905124.0,,20.44,-84.428,2022-01-16,0.527,504.191,2020-11-04,2025-02-18 11:31,/10365/large/near.jpg?1696510367
ondo-finance,ONDO,Ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,1.19,3746588751,38,11859643005,221852411,1.29,1.16,-0.093,-7.26,-312297475.23,-7.694,3159107529,10000000000.0,10000000000.0,2.14,-44.546,2024-12-16,0.082,1344.311,2024-01-18,2025-02-18 11:31,/26580/large/ONDO.png?1696525656
mantle,MNT,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,1.1,3683857941,39,6809260205,119682682,1.1,1.03,0.066,6.38,209440392.0,6.028,3364694382,6219316794.99,6219316794.99,1.54,-28.772,2024-04-08,0.308,255.87,2023-10-18,2025-02-18 11:31,/30980/large/Mantle-Logo-mark.png?1739213200
dai,DAI,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,1.0,3458191894,40,3458191894,215587829,1.0,1.0,0.0,0.02,-14642835.243,-0.422,3458609509,3458349567.218,,1.22,-17.997,2020-03-13,0.882,13.333,2023-03-11,2025-02-18 11:31,/9956/large/Badge_Dai.png?1696509996
susds,SUSDS,sUSDS,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,1.04,3358131190,41,3358131190,1386868,1.05,1.02,-0.001,-0.08,19937059.0,0.597,3239398326,3239398326.564,,1.088,-4.742,2025-02-03,0.962,7.758,2025-01-04,2025-02-18 11:31,/52721/large/sUSDS_Coin.png?1734086971
official-trump,TRUMP,Official Trump,https://coin-images.coingecko.com/coins/images/53746/large/trump.png?1737171561,16.49,3297642563,42,16488213283,1323164740,18.0,16.21,-1.187,-6.71,-249197465.787,-7.026,199999994,1000000000.0,1000000000.0,73.43,-77.553,2025-01-19,4.29,284.158,2025-01-18,2025-02-18 11:31,/53746/large/trump.png?1737171561
aptos,APT,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,5.59,3282767716,43,6375889006,197513840,6.13,5.5,-0.467,-7.72,-285364302.99,-7.998,587251776,1140577849.852,,19.92,-71.89,2023-01-26,3.08,81.819,2022-12-29,2025-02-18 11:31,/26455/large/aptos_round.png?1696525528
internet-computer,ICP,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,6.8,3269713101,44,3603837273,66119103,7.23,6.7,-0.333,-4.66,-174155768.006,-5.057,480960950,530109201.622,,700.65,-99.03,2021-05-10,2.87,137.164,2023-09-22,2025-02-18 11:31,/14495/large/Internet_Computer_logo.png?1696514180
bittensor,TAO,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,363.4,3049426037,45,7638865558,127406263,376.1,348.91,0.996,0.28,-1862141.573,-0.061,8383175,21000000.0,21000000.0,757.6,-51.904,2024-03-07,30.83,1081.89,2023-05-14,2025-02-18 11:31,/28452/large/ARUsPeNQ_400x400.jpeg?1696527447
ethereum-classic,ETC,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,20.2,3046515913,46,3046515913,137739473,21.49,19.85,-0.808,-3.84,-120571464.444,-3.807,150798476,150798476.842,210700000.0,167.09,-87.925,2021-05-06,0.615,3180.472,2016-07-25,2025-02-18 11:31,/453/large/ethereum-classic-logo.png?1696501717
okb,OKB,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,49.53,2971592798,47,11686169305,5443111,51.49,48.76,-1.117,-2.21,-67146088.809,-2.21,60000000,235957685.3,300000000.0,73.8,-32.977,2024-03-14,0.581,8419.555,2019-01-14,2025-02-18 11:31,/4463/large/WeChat_Image_20220118095654.png?1696505053
gatechain-token,GT,Gate,https://coin-images.coingecko.com/coins/images/8183/large/200X200.png?1735246724,22.53,2839693160,48,6771090442,12475926,23.34,22.47,-0.493,-2.14,-57832136.671,-1.996,125815473,300000000.0,,25.94,-13.031,2025-01-25,0.258,8659.554,2020-03-13,2025-02-18 11:31,/8183/large/200X200.png?1735246724
tokenize-xchange,TKX,Tokenize Xchange,https://coin-images.coingecko.com/coins/images/4984/large/TKX_-_Logo_-_RGB-15.png?1696505519,34.09,2729104291,49,3411550982,22718942,34.17,31.68,2.41,7.61,193047337.0,7.612,79995999,100000000.0,100000000.0,50.43,-32.493,2025-01-03,0.111,30500.589,2019-04-28,2025-02-18 11:31,/4984/large/TKX_-_Logo_-_RGB-15.png?1696505519
kaspa,KAS,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.1,2619995856,50,2619998454,66221758,0.11,0.1,-0.007,-6.31,-188624280.921,-6.716,25723079703,25723105212.446,28704026601.0,0.207,-50.815,2024-08-01,0.0,59540.79,2022-05-26,2025-02-18 11:31,/25751/large/kaspa-icon-exchanges.png?1696524837
polygon-ecosystem-token,POL,POL (ex-MATIC),https://coin-images.coingecko.com/coins/images/32440/large/polygon.png?1698233684,0.3,2617235482,51,3166716605,117431704,0.33,0.3,-0.021,-6.49,-184164782.644,-6.574,8563928709,10361901110.27,,1.29,-76.252,2024-03-13,0.269,13.568,2025-02-03,2025-02-18 11:31,/32440/large/polygon.png?1698233684
vechain,VET,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1710013505,0.03,2598669013,52,2759110310,47558899,0.03,0.03,-0.002,-5.08,-146372303.744,-5.332,80985041177,85985041177.0,86712634466.0,0.281,-88.606,2021-04-19,0.002,1570.069,2020-03-13,2025-02-18 11:31,/1167/large/VET_Token_Icon.png?1710013505
coinbase-wrapped-btc,CBBTC,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,95697.0,2536096908,53,2536096908,322418994,96919.0,95149.0,-448.601,-0.47,42780959.0,1.716,26497,26497.163,,108953.0,-12.248,2025-01-20,57439.0,66.453,2024-09-12,2025-02-18 11:31,/40143/large/cbbtc.webp?1726136727
crypto-com-chain,CRO,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.09,2361878126,54,2594145790,18412581,0.09,0.09,-0.002,-1.91,-54146882.867,-2.241,27313940507,30000000000.0,,0.965,-91.051,2021-11-24,0.012,612.876,2019-02-08,2025-02-18 11:31,/7310/large/cro_token_logo.png?1696507599
algorand,ALGO,Algorand,https://coin-images.coingecko.com/coins/images/4380/large/download.png?1696504978,0.26,2204767339,55,2204791012,96398101,0.28,0.26,-0.016,-5.9,-136502143.316,-5.83,8446687820,8446778513.412,10000000000.0,3.56,-92.67,2019-06-20,0.088,198.281,2023-09-11,2025-02-18 11:31,/4380/large/download.png?1696504978
render-token,RENDER,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,4.16,2151494287,56,2212833694,102347847,4.66,4.09,-0.36,-7.96,-193684308.564,-8.259,517716590,532476763.336,,13.53,-69.334,2024-03-17,0.037,11222.68,2020-06-16,2025-02-18 11:31,/11636/large/rndr.png?1696511529
arbitrum,ARB,Arbitrum,https://coin-images.coingecko.com/coins/images/16547/large/arb.jpg?1721358242,0.47,2075475416,57,4696376092,231849747,0.51,0.46,-0.023,-4.59,-111296302.425,-5.09,4419312625,10000000000.0,10000000000.0,2.39,-80.37,2024-01-12,0.382,22.679,2025-02-03,2025-02-18 11:31,/16547/large/arb.jpg?1721358242
filecoin,FIL,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,3.26,2066052845,58,6389521635,158635633,3.5,3.21,-0.171,-4.99,-116478996.966,-5.337,633646232,1959628631.0,1959628631.0,236.84,-98.623,2021-04-01,2.64,23.458,2022-12-16,2025-02-18 11:31,/12817/large/filecoin.png?1696512609
first-digital-usd,FDUSD,First Digital USD,https://coin-images.coingecko.com/coins/images/31079/large/FDUSD_icon_black.png?1731097953,1.0,2051470825,59,2051470825,4997405499,1.01,0.99,0.003,0.33,-31499728.529,-1.512,2052516586,2052516586.467,,1.15,-13.225,2025-02-03,0.94,6.241,2024-12-05,2025-02-18 11:31,/31079/large/FDUSD_icon_black.png?1731097953
cosmos,ATOM,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,4.65,2029096649,60,2029096649,142405143,4.93,4.56,-0.208,-4.29,-90177692.604,-4.255,436723564,436723564.651,,44.45,-89.561,2022-01-17,1.16,299.985,2020-03-13,2025-02-18 11:31,/1481/large/cosmos_hub.png?1696502525
jupiter-exchange-solana,JUP,Jupiter,https://coin-images.coingecko.com/coins/images/34188/large/jup.png?1704266489,0.73,1935670230,61,5137427281,414568967,0.84,0.72,-0.096,-11.6,-257701622.993,-11.749,2637438888,6999978762.477,10000000000.0,2.0,-63.271,2024-01-31,0.457,60.577,2024-02-21,2025-02-18 11:31,/34188/large/jup.png?1704266489
fetch-ai,FET,Artificial Superintelligence Alliance,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,0.74,1933908260,62,2015226310,135261726,0.81,0.73,-0.044,-5.54,-122048216.545,-5.936,2604959126,2714493896.672,2714493896.672,3.45,-78.531,2024-03-28,0.008,8977.282,2020-03-13,2025-02-18 11:31,/5681/large/ASI.png?1719827289
lombard-staked-btc,LBTC,Lombard Staked BTC,https://coin-images.coingecko.com/coins/images/39969/large/LBTC_Logo.png?1724959872,95666.0,1902740490,63,1902740490,4855679,98106.0,93548.0,-168.91,-0.18,-22772228.193,-1.183,19891,19891.32,,114576.0,-16.568,2025-02-04,52119.0,83.411,2024-09-06,2025-02-18 11:31,/39969/large/LBTC_Logo.png?1724959872
sonic-3,S,Sonic (prev. FTM),https://coin-images.coingecko.com/coins/images/38108/large/200x200_Sonic_Logo.png?1734679256,0.59,1874584863,64,1874584863,263648411,0.63,0.57,0.02,3.46,55758799.0,3.066,3175000000,3175000000.0,,1.029,-42.656,2025-01-04,0.36,64.144,2025-02-03,2025-02-18 11:31,/38108/large/200x200_Sonic_Logo.png?1734679256
optimism,OP,Optimism,https://coin-images.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,1.11,1810260718,65,4767880485,267716612,1.21,1.09,-0.051,-4.42,231897533.0,14.692,1630705846,4294967296.0,4294967296.0,4.84,-77.045,2024-03-06,0.402,176.508,2022-06-18,2025-02-18 11:31,/25244/large/Optimism.png?1696524385
fasttoken,FTN,Fasttoken,https://coin-images.coingecko.com/coins/images/28478/large/lightenicon_200x200.png?1696527472,3.93,1688202768,66,3425375146,49153288,3.95,3.92,0.002,0.06,-1993615.776,-0.118,429147094,870742437.0,1000000000.0,4.0,-1.624,2025-02-12,0.398,887.714,2023-01-21,2025-02-18 11:31,/28478/large/lightenicon_200x200.png?1696527472
lido-dao,LDO,Lido DAO,https://coin-images.coingecko.com/coins/images/13573/large/Lido_DAO.png?1696513326,1.87,1677728998,67,1870714795,231402810,1.94,1.77,-0.041,-2.14,-50338027.739,-2.913,896838471,1000000000.0,1000000000.0,7.3,-74.455,2021-08-20,0.406,359.313,2022-06-18,2025-02-18 11:31,/13573/large/Lido_DAO.png?1696513326
binance-peg-weth,WETH,Binance-Peg WETH,https://coin-images.coingecko.com/coins/images/39580/large/weth.png?1723006716,2695.47,1631660954,68,1631660954,92931592,2834.33,2652.32,-66.69,-2.41,-40457473.436,-2.42,605000,605000.0,,4098.26,-34.176,2024-12-06,2171.8,24.212,2024-09-06,2025-02-18 11:31,/39580/large/weth.png?1723006716
celestia,TIA,Celestia,https://coin-images.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,3.05,1622456479,69,3370263032,90306398,3.22,3.0,-0.137,-4.28,-73318493.848,-4.324,531197259,1103434520.548,,20.85,-85.336,2024-02-10,2.08,46.754,2023-10-31,2025-02-18 11:31,/31967/large/tia.jpg?1696530772
kelp-dao-restaked-eth,RSETH,Kelp DAO Restaked ETH,https://coin-images.coingecko.com/coins/images/33800/large/Icon___Dark.png?1702991855,2796.96,1551629104,70,1551629104,10282711,2921.83,2755.07,-63.405,-2.22,-37994252.688,-2.39,554755,554755.393,,4216.2,-33.661,2024-12-06,2069.62,35.146,2024-01-23,2025-02-18 11:31,/33800/large/Icon___Dark.png?1702991855
kucoin-shares,KCS,KuCoin,https://coin-images.coingecko.com/coins/images/1047/large/sa9z79.png?1696502152,12.07,1479302696,71,1720610791,247593,12.25,11.98,0.011,0.09,-1495835.788,-0.101,122606967,142606967.851,,28.83,-58.176,2021-12-01,0.343,3416.841,2019-02-07,2025-02-18 11:31,/1047/large/sa9z79.png?1696502152
xdce-crowd-sale,XDC,XDC Network,https://coin-images.coingecko.com/coins/images/2912/large/xdc-icon.png?1696503661,0.09,1448144029,72,3504922590,37568904,0.1,0.09,-0.004,-4.6,-73072620.597,-4.804,15689466333,37972994321.1,,0.193,-52.179,2021-08-21,0.0,23217.111,2019-07-22,2025-02-18 11:31,/2912/large/xdc-icon.png?1696503661
solv-btc,SOLVBTC,Solv Protocol SolvBTC,https://coin-images.coingecko.com/coins/images/36800/large/solvBTC.png?1719810684,95441.0,1420042656,73,1440772848,5689585,96723.0,94932.0,-683.764,-0.71,-30671139.615,-2.114,14885,15102.313,21000000.0,108929.0,-12.368,2025-01-20,49058.0,94.58,2024-08-05,2025-02-18 11:31,/36800/large/solvBTC.png?1719810684
quant-network,QNT,Quant,https://coin-images.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1696504070,95.73,1392692912,74,1399234663,34129601,97.65,93.72,0.034,0.04,-5981755.231,-0.428,14544176,14612493.0,14612493.0,427.42,-77.641,2021-09-11,0.216,44190.82,2018-08-23,2025-02-18 11:31,/3370/large/5ZOu7brX_400x400.jpg?1696504070
